sid	text:de
	
26 prophecy	Die Prophezeiung
briefings.26 prophecy	„Wenn der Erlöser geboren wird, werdet ihr ihn an seiner starken und reinen Seele erkennen, die jedes Lebewesen zähmt und sogar jenseits der Pforten des Todes.<nl><nl>Und wenn der Erlöser im Reich ohne Hoffnung seine Stimme findet, wird sein Lied für das gebrochene Herz der Bestie erklingen. Und die Bestie wird einschlafen und für immer ruhen.<nl><nl>Dann sind wir wieder Herren im eigenen Haus.“
	
// templates	
random_map_templates.hell.name	Rand des Höllenschlunds
random_map_templates.des.name	Wüste Sahaar
random_map_templates.desert_p.name	Nebelsteppe
random_map_templates.dry.name	Glutgrube
random_map_templates.Jungle_a.name	Dschungel von Inca
random_map_templates.mushroom.name	Grauödnis
random_map_templates.forest.name	Vergessene Küste
random_map_templates.cold.name	Tay-Rammin-Tundra
	
earth_spots.#107.title	Korrumpierte Felder
earth_spots.#107.descr	Treiben Sie die Schatten der Unterwelt zurück zu ihrem Ursprungsort!
	
earth_spots.#108.title	Alte Gänge
earth_spots.#108.descr	Wagen Sie sich tiefer ins Labyrinth der vergessenen Stadt … wenn Sie den Mut dazu haben!
	
earth_spots.#109.title	Unterschlupf der Abtrünnigen
earth_spots.#109.descr	Kümmern Sie sich um die Jaar-Lash-Abtrünnigen!
	
earth_spots.#110.title	Brücken der Prüfung
earth_spots.#110.descr	Nehmen Sie die Herausforderung des unbesiegbaren Kriegers an.
	
AlienShip_dead	Tharkshs Schiff ist zerstört!
