sid	text:de
	
//// Mission 13 supplement	
obj.Return to the village	Eilen Sie zurück zum Dorf!
obj.Go north with Eji	Gehen Sie mit Eji nach Norden!
obj.Use the passage to the southeast	Nutzen Sie den Durchgang im Südosten!
	
//// Mission 35 supplement	
obj.Sneak to the teleporter controls	Schleichen Sie zur Teleporter-Steuerung!
	
//// BSA supplement	
obj.Defeat the Reptile	Besiegen Sie das Reptil!
	
//// Corrupted Fields	
obj.Save your leaders	Retten Sie Ihre Anführer!
obj.Defeat your leaders	Besiegen Sie Ihre Anführer!
obj.Defeat the evil priest	Besiegen Sie den bösen Priester!
obj.Explore the Corrupted Fields	Erkunden Sie die Felder der Korruption!
	
//// Renegades’ Hideout	
obj.Defeat Erkh Arul	Besiegen Sie Erkh Arul!
obj.Defeat Zul'Thark	Besiegen Sie Zul’Thark!
obj.Investigate the renegades hideout	Erkunden Sie den Unterschlupf der Abtrünnigen!
	
//// Bridges of Trial	
obj.Reach Lan Zealot	Erreichen Sie Lan Zelot!
obj.Defeat Lan Zealot	Besiegen Sie Lan Zelot!
obj.Defeat the monster	Besiegen Sie das Monster!
