sid	text:de
		
// 11		
obj.Clear the way	Machen Sie den Weg frei!
obj.Eliminate the hostile creatures	Eliminieren Sie die feindlichen Kreaturen!
obj.Save Denkar	Retten Sie Denkar!
obj.Avoid the patrols	Weichen Sie den Patrouillen aus!
		
// 12		
obj.Get help	Holen Sie Hilfe!
obj.Helpers:	Versammelte Verstärkung:
obj.Help the village	Erreichen Sie das Dorf!
obj.Defenders alive:	Überlebende Verteidiger:
obj.Clear the enemy camp	Besiegen Sie das ganze feindliche Lager!
obj.Enemies left:	Verbliebene Feinde:
		
// 13		
obj.Protect the xenolite	Beschützen Sie das Xenolit!
obj.Defenders alive:	Überlebende Verteidiger:
obj.Sneak in the camp	Schleichen Sie sich zum Lager!
obj.Return to the village	Kehren Sie zum Dorf zurück!
obj.Save Eji	Retten Sie Eji!
obj.Village defenders alive	Überlebende Dorfverteidiger:
obj.Escape the village	Fliehen Sie aus dem Dorf!
		
// 14		
obj.Enter the camp	Betreten Sie das Lager!
obj.Find escape vehicle	Finden Sie ein Fluchtfahrzeug!
obj.Eliminate the mine defenders	Beseitigen Sie die Minenwachposten!
		
// 15		
obj.Approach Saling	Nähern Sie sich Saling!
obj.Find your way to Saling	Finden Sie einen Weg nach Saling!
obj.Make your way past the camp	Gelangen Sie zur anderen Seite des Lagers!
obj.Defeat the Salingian Commander	Bezwingen Sie den Saling-Commander!
obj.Continue to Saling	Gehen Sie weiter nach Saling!
obj.Avoid the fire bursts	Weichen Sie den Feuerstößen aus!
		
// 16		
obj.Enter the base	Dringen Sie in den Stützpunkt ein!
obj.Remove the guards from the road	Beseitigen Sie die Wachen!
obj.Sneak through the base	Schleichen Sie durch den Stützpunkt!
obj.Reach the service entrance	Erreichen Sie den Diensteingang!
		
// 21		
obj.Protect the village	Beschützen Sie das Dorf!
obj.Defenders alive:	Überlebende Verteidiger:
obj.Protect the lab	Beschützen Sie das Labor!
obj.Turrets left:	Verbliebene Geschütztürme:
obj.Defeat The Hive	Bezwingen Sie die Aliens!
obj.Master killed:	Meister getötet:
obj.no	Nein
obj.YES	JA
obj.Breeder destroyed:	Brüter zerstört:
		
// 22		
obj.Reach Onkar's place of death	Erreichen Sie Onkars Sterbeort!
obj.Take the diary	Nehmen Sie Onkars Tagebuch!
obj.Reach the extraction point	Gelangen Sie zum Evakuierungspunkt!
		
// 23		
obj.Scout the area	Erkunden Sie das Gebiet!
obj.Follow the path	Folgen Sie dem Pfad!
obj.Protect the technicians	Beschützen Sie die Techniker!
obj.Technicians alive	Überlebende Techniker:
obj.Examine the ancient device	Untersuchen Sie das alte Gerät!
obj.Activate the power generator	Aktivieren Sie den Energiegenerator!
obj.Find another ancient device	Finden Sie ein weiteres altes Gerät!
obj.Examine the ruins	Untersuchen Sie die Ruinen!
obj.Return to the first site	Kehren Sie an den Ausgangsort zurück!
obj.Find power	Finden Sie Energie!
obj.Find the ancient power source	Finden Sie die alte Energiequelle!
obj.Reach the extraction point	Gelangen Sie zum Evakuierungspunkt!
		
// 24		
