sid	text

ConfuseAction.spell.effect.effect2.name	Объркване
ConfuseAction.spell.effect.effect2.text	Единицата е заплашена от лорд-командир и не може да атакува друг враг.

AncientSmith.abilities.ConfuseAbi.effect.effect.name	Объркване
AncientSmith.abilities.ConfuseAbi.effect.effect.text	Бронята на Древния Смит е подсилена при маневра „Объркване“.
AncientSmith.abilities.ConfuseAbi.effect.effect2.name	Объркване
AncientSmith.abilities.ConfuseAbi.effect.effect2.text	Единицата е заплашена от Древния Смит и не може да атакува друг.

AncientSmithCloneEast.abilities.ConfuseAbi.effect.effect.name	Объркване
AncientSmithCloneEast.abilities.ConfuseAbi.effect.effect.text	Бронята на Древния Смит е подсилена при маневра „Объркване“.
AncientSmithCloneEast.abilities.ConfuseAbi.effect.effect2.name	Объркване
AncientSmithCloneEast.abilities.ConfuseAbi.effect.effect2.text	Единицата е заплашена от Древния Смит и не може да атакува друг.

AncientSmithCloneWest.abilities.ConfuseAbi.effect.effect.name	Объркване
AncientSmithCloneWest.abilities.ConfuseAbi.effect.effect.text	Бронята на Древния Смит е подсилена при маневра „Объркване“.
AncientSmithCloneWest.abilities.ConfuseAbi.effect.effect2.name	Объркване
AncientSmithCloneWest.abilities.ConfuseAbi.effect.effect2.text	Единицата е заплашена от Древния Смит и не може да атакува друг.

AncientSmithMinion.abilities.ConfuseAbi.effect.effect.name	Объркване
AncientSmithMinion.abilities.ConfuseAbi.effect.effect.text	Бронята на Древния Смит е подсилена при маневра „Объркване“.
AncientSmithMinion.abilities.ConfuseAbi.effect.effect2.name	Объркване
AncientSmithMinion.abilities.ConfuseAbi.effect.effect2.text	Единицата е заплашена от Древния Смит и не може да атакува друг.

QueenProtector.abilities.Taunt.effect.effect.name	Лекуване
QueenProtector.abilities.Taunt.effect.effect.text	Здравето на царицата се възстановява от неин защитник.
QueenProtector.abilities.Taunt.effect.effect2.name	Объркване
QueenProtector.abilities.Taunt.effect.effect2.text	Единицата е заплашена от защитник на царицата и не може да атакува друг враг.

BridgeTrooper.abilities.Inject.effect.name	Инжекция
BridgeTrooper.abilities.Inject.effect.text	Щурмовакът регенерира здравето си под влиянието на инжектирани медикаменти.
