sid	text:de
briefings.bsa	Ehre ist für die Aristokraten, Soldaten und die gewöhnlichen Bürger Salings gleichermaßen von herausragender Bedeutung. Jede Kaste hat ihre eigenen Regeln, die ehrenhaftes und unehrenhaftes Verhalten festlegen.<nl><nl>Die wohl spektakulärste Art, seine Ehre, und zusätzlich jede Menge Geld, zu gewinnen oder zu verlieren, sind die Auseinandersetzungen in der Kampfsportarena. Sie liegt in den Felsen außerhalb des Stadtturms und steht allen offen, die dort antreten möchten. Die Siegprämien sind verlockend, aber Vorsicht: In den Kämpfen geht es um Leben und Tod!
briefings.rom	Die gesetzlosen Maschinen der ROM-Gruppierung haben tief im dichten Dschungel von Inca mehrere Stützpunkte errichtet. In jüngster Zeit hat ROM unter schärfster Geheimhaltung mit dem Bau verdächtiger Einrichtungen begonnen – was kein gutes Zeichen sein kann! Dass die Roboter von ROM archäologische Forschungen betreiben und nach alter Technologie suchen, macht die Angelegenheit nur bedrohlicher.<nl><nl>Dringen Sie in einen der größten ROM-Stützpunkte ein und tun Sie alles, um die Gefahr durch die Maschinen ein für alle Mal zu bannen.
briefings.junkyard	Vor langer Zeit hoffte man noch, dass man der Plage Herr werden könnte. Damals konstruierten die Wissenschaftler und Ingenieure der Menschen die „Müllsammler“: gewaltige, unglaublich robuste Roboter mit eigenem Bewusstsein. Sie waren dafür vorgesehen, durch die gefahrvollen Ödlande zu streifen, seltene Ressourcen zu sammeln und der Plage verlorene Gebiete wieder abzuringen.<nl><nl>Die Erbauer der Müllsammler sind längst Vergangenheit, doch einige ihrer Maschinen „leben" noch immer. Eine davon konnte auf einem alten Schrottplatz sogar einige Anhänger um sich scharen und versucht nun, ihr Territorium zu vergrößern. Eliminieren Sie die Maschine, bevor die Gefahr bedrohliche Ausmaße annimmt!
briefings.dtb	Wie Denkar und Ganthu festgestellt haben, erreichen die Bergbau-Expeditionen der Menschen selten die Größe der Dünenstadt-Niederlassung in der Wüste Sahaar. Dass sie vorsätzlich gefährliche Kreaturen zusammensperren, ist noch außergewöhnlicher: Die Wissenschaftler der Städte interessieren sich für gewöhnlich kaum für die Plagebrut.<nl><nl>Was führt Lord Commander Frank N. Stein im Schilde? Dringen Sie in seinen Haupt-Stützpunkt ein und finden Sie es heraus!
briefings.safari	Von der Plage befallene Gebiete sind voller Gefahren. Abscheuliche Monster lauern in dunklen Wäldern. Gigantische Mutanten beanspruchen das Land für sich. Mächtige Maschinen aus grauer Vorzeit streifen umher, weil ihre ermattete künstliche Intelligenz ihnen befiehlt, längst ausgestorbene Feinde zu jagen.<nl><nl>Können Sie all diese Gegner bezwingen und die Schätze bergen, über die sie wachen? Willkommen auf einer Jagd, bei der der Jäger unversehens zum Gejagten werden kann!
briefings.kharum	Das Leben in der Wüste ist nicht leicht – vor allem, wenn Ihr Dorf von Monstern und Banditenlagern umzingelt ist. Doch als ein wahnsinniger Riesenroboter sich in einer alten Festung in Ihrer Nähe niederlässt und seine Schergen die Oase für sich beanspruchen, nehmen Ihre Sorgen ungeahnte Ausmaße an!<nl><nl>Helfen Sie dem Dorf Kharum, sichern Sie sich die Dankbarkeit der Bewohner und verdienen Sie sich kostbaren Lohn.
briefings.cf	Magie ist eine zweischneidige Waffe – das gilt auch für „Beschwörungen“. Wer Beschwörungszauber einsetzt, riskiert, dass ihn jene Kreaturen verschlingen, die er kontrollieren wollte! Je größer die Macht des Zauberers ist, desto größer ist die Gefahr, die es bedeutet, wenn seine einstigen Schergen seinen Geist besiegen.<nl><nl>Wagen Sie sich ins Reich des korrumpierten Beschwörers, und bannen Sie die Höllenwesen zurück in ihre Heimat, bevor sie sich ausbreiten können!
briefings.esperanza	Jahrtausendelang strebte die Menschheit erfolglos nach der Unsterblichkeit. Ruhm war in all dieser Zeit die einzige Form von Unsterblichkeit, die ein Mensch erlangen konnte. Doch es scheint, dass es endlich jemand geschafft hat, die nächste Stufe zu erreichen. Beim Untergang von Esperanza wurde ein Wissenschaftler dort in seiner Forschungsstation von der Aussenwelt abgeschnitten. Einsam und verzweifelt wendete er all sein biologisches und medizinisches Wissen auf, um sich selbst zu klonen, seine Erinnerungen auf seine Klone zu übertragen und so jahrhundertelang zu „überleben“. Die Technologie, von der er Gebrauch machte, war jedoch nicht vollkommen, und die Summe der Fehler ergab ... Nun ja, jetzt haben Sie es mit einer Armee verrückter Wissenschaftler zu tun!
briefings.rh	Auf der Suche nach einer Saat, die im Krieg der Jaar Lash zum Einsatz kommen sollte, gelangte der Kult auf die Erde. Der Planet selbst interessierte sie nicht, doch einige von ihnen fanden Gefallen an der neuen Welt. Der Planet war farbenfroh und reich an Lebewesen, die man unterjochen konnte. Jene Mitglieder des Kultes wollten den Krieg ein für alle Mal hinter sich lassen und auf der Erde bleiben.<nl><nl>Diese Abtrünnigen haben sich von der Hauptstreitmacht der Jaar Lash getrennt und versuchen nun, auf der Erde Fuß zu fassen. Greifen Sie ihren Stützpunkt an und stellen Sie sicher, dass in Zukunft keinerlei Gefahr mehr von ihnen ausgeht.
briefings.dtb2	Es hat sich herausgestellt, dass Lord Commander Stein nur ein Beschützer der mysteriösen Gestalt aus dem Hologramm war. Es ist absolut rätselhaft, wer sie ist und warum sie es so sehr auf einen Konflikt anlegt.<nl><nl>Eine der Legenden, die sich die Stämme der Wüste Sahaar erzählen, berichtet von einem unbesiegbaren Krieger, dessen sehnlichster Wunsch es war, im Kampf zu fallen und Frieden zu finden. Falls Sie ihm begegnen, können Sie das Duell für sich entscheiden und ihm seinen Wunsch erfüllen?
