sid	text
briefings.12 cities	目前，人類仍然免於「瘟疫」的腐化感染，他們居住於五座獨立巨大城市中。這五大都市分別是：位於薩哈拉沙漠的沙丘鎮；位於前中國的沙林市；位於印度洋的瓦倫市；位於前西伯利亞沼澤叢林的喬藍市，以及位於北美冰天雪地的冰霜堡。<nl><nl>這些巨大城市是防護「瘟疫」以及受強大異域礦石為動力的能量護盾等其他外部影響所害的巨塔。人類定期地派出小規模考察隊進入荒地開採異域礦石並且收集其他亟需的資源。這通常導致與變種人「部族」發生衝突戰鬥。
briefings.12 denkar	丹卡爾‧尼瓦拉是前沙林市總督安卡爾‧尼瓦拉之子。身為沙林市其中一名貴族指揮官，丹卡爾負責他父親搜索考察隊的安全任務。<nl><nl>在一次任務中，丹卡爾目睹了一場災難性的考察隊事件，而他是那場事件的唯一生存者，結果，這位總督正統繼承人，返回沙林市卻發現他不再受到人民的敬重。雖然沒人膽敢公開指控，不過「弒父者」這個頭銜彷彿無時無刻掛在他頭上一樣。<nl><nl>受到他嚴格的榮譽軍事教條影響，丹卡爾深信他的失敗，伴隨著這些猜疑，使得他不配統治這座城市。他決定把總督職務讓位給他的妹妹阿爾娜並且開始一場自願的放逐之旅。
briefings.12 onkar	安卡爾‧尼瓦拉曾經是沙林市的總督。與他前幾任相比，安卡爾是位開明的統治者，他對古代歷史和變種人傳說懷有相當的熱誠，因此常常親自參與考察隊的探險任務。<nl><nl>安卡爾在劃分沙林人及瓦倫人勢力範圍的邊境附近調查古代遺跡時遭受瓦倫人部隊殺害。他的兒子，丹卡爾，也參與了這次考察，而且被證明是唯一的生還者。
briefings.12 saling	沙林市是五座人類巨大城市之一，座落於前中國境內。「瘟疫」已經把周圍的土地轉變成永恆燃燒的荒涼之地。<nl><nl>在沙林市文化中，榮譽思想扮演著非常重要的部分，在軍事及民間事務上都是如此。<nl><nl>這座城市的貴族在家族的姓之前冠上「尼」的稱謂。目前，這座城市的總督職務屬於尼瓦拉家族所有。
briefings.12 tamani	塔瑪尼是一處變種人的殖民地，位置在薩哈拉沙漠中零星散落的其他綠洲村莊旁。<nl><nl>除了丹卡爾以外，沒人知道他如何在這片荒地中生存多年，或者他曾經旅行到哪裡，不過他最近在塔瑪尼村落腳並且很快地與當地一名變種女孩建立起關係。<nl><nl>雖然丹卡爾定期穿越薩哈拉沙漠進行探索之旅，當沙丘鎮部隊圍攻塔瑪尼時，他並不在場。
briefings.13 eji	伊婕是位生活在瓦寇諾村的變種人女孩。她的父母不詳；甘圖在她還是個小孩時在叢林中發現她並且對她能夠在「瘟疫」感染的怪物之間獨自生存感到驚訝。之後，很顯然地伊婕在醫療和神會方面擁有強大的心靈感應天賦。甘圖接納保護她，儘管看著她長大，他逐漸開始相信她正是一則古代預言所說的「救世主」。
briefings.13 ganthu	甘圖是瓦寇諾村的祭司長，他精通變種人法術的技藝。他對收集關於過去古代世界的傳說非常有興趣。瓦寇諾部族有些成員認為他花太多時間於旅行和破解在古代遺跡中發現的碑文，而太少處理解決他部族的日常麻煩事務。
briefings.13 ragho	拉格吼是瓦寇諾村其中一名薩滿，熟練於法術但脾氣暴躁而且自大。他尤其對甘圖老是出言不遜而且常常這位祭司長爭論。在好幾個場合上，他逾越自己的身份公開陳述他會當個比甘圖更好的領袖。
briefings.14 allies	甘圖和丹卡爾兩人彼此見面時都很感到意外，因為一個是在變種人村莊生活，而且站在「部族」這方戰鬥的人類貴族指揮官；而另外一個卻是最近才放棄他的部族和領袖身份的祭司長。然而，接下來的對話卻更讓人驚訝。<nl><nl> 甘圖非常著迷的想知道丹卡爾的父親一直在研究的古代傳說，而丹卡爾本身似乎也對這個話題感到興趣。也許這是丹卡爾在他旅行期間所獲得的知識，或者是他渴望再次見到他的家園河妹妹的關係，也許伊婕的超自然存幫了一點，但最後，丹卡爾決定要在甘圖的任務旅程中協助他導引「救世主」完成她的使命。他們決定要旅行前往沙林市作為他們旅程的第一站，並且察看安卡爾的圖書館找出任何與「救世主」預言有關的情報。
briefings.14 ming_base	似乎一名從沙丘鎮來的貴族指揮官在綠洲附近的沙漠進行一場大規模的採礦作業。他的基地是「部族」殖民地遭受襲擊的幕後黑手。對人類採礦考察隊來說維持這麼大規模的設施非常地不尋常，特別是歷經這麼長的時間。<nl><nl>「部族」斥候回報在採礦營地中有一艘人員運輸艦，這艘船艦似乎隨時能準備好飛行。丹卡爾，甘圖和伊婕能偷到它飛往沙林市。
