sid	text
Are you ready	Prêt ?
Confirm	Compris !
Crowd control	Contrôle de masse !
Damage	Des dégâts, vite !
Follow me	Suis-moi !
Go	Bouge !
Go back	Retour !
Good game	Bonne partie !
Heard	Je t’entends !
Hello	Salut !
Low power	Pas de puissance !
Need healing	J’ai besoin de soins !
Need help	J’ai besoin d’aide !
No	Non !
Oh dear	Ho mon dieu !
Oh nooo	Oh, nooon !
Oops	Oups !
Owned	Gagné !
Praise	Bon boulot !
Seen enemy	Ennemi détecté !
Seen worse	J’ai vu pire…
Sorry	Désolé !
Tank	Attire-le !
Taunt	Railler
Taunt Aliens	Railler le Culte
Taunt Humans	Railler les humains
Taunt Mutants	Railler les tribus
Thanks	Merci !
That was close	C’est pas passé loin !
Wait	Attends !
Wait for me	Attends-moi !
Yes	Oui !
