sid	text
Are you ready	Bereit?
Confirm	Geht klar!
Crowd control	Gruppe aufhalten!
Damage	Mehr Schaden!
Follow me	Folg mir!
Go	Bewegung!
Go back	Zurück!
Good game	Gut gespielt!
Heard	Verstanden!
Hello	Hallo!
Low power	Keine Energie!
Need healing	Ich brauche Heilung!
Need help	Ich brauch Hilfe!
No	Nein!
Oh dear	Oh Mann!
Oh nooo	Oh nein!
Oops	Ups!
Owned	Drangekriegt!
Praise	Gut gemacht!
Seen enemy	Gegner in Sicht!
Seen worse	Das ist noch gar nichts ...
Sorry	Tut mir leid!
Tank	Angreifer vor!
Taunt	Spott
Taunt Aliens	Spott (Kult)
Taunt Humans	Spott (Menschen)
Taunt Mutants	Spott (Stämme)
Thanks	Danke!
That was close	Das war knapp!
Wait	Moment!
Wait for me	Warte auf mich!
Yes	Ja!
